name,x,y
1,-52.893017,-10.041111
2,-42.01082,-9.947166
3,75.747314,36.1444
4,-49.219593,-5.5255227
5,-48.62246,-3.4104931
6,-38.106068,-1.8040724
117,-28.155512,37.476734
6453,-33.07105,36.700504
6454,-55.340763,-7.738629
7,-37.785126,-1.6604071
8,-37.36779,-1.4296393
9,-56.80136,-14.748447
10,-47.41852,-4.207292
22,-27.306622,-46.481903
11,-38.50217,-1.7167647
12,-38.241474,-1.7647762
13,-38.7445,-1.6987026
14,-37.07928,-1.2491653
110,-34.02049,2.0346968
6455,65.16638,37.21349
15,-56.393234,-14.694751
16,-36.595158,-49.701977
17,-35.489048,-53.186535
18,-32.455635,-52.48205
19,-30.630283,-48.354294
20,-33.81773,-49.131516
21,-22.976927,-40.898094
23,-27.695343,-45.774204
24,-28.230282,-45.797024
25,-27.252516,-43.667046
26,-24.003576,-42.740116
27,-27.709597,-46.354458
28,-26.964783,-44.959435
29,-27.684896,-43.140125
30,-18.829227,-43.055897
31,-35.573082,-57.747623
32,63.268974,44.952263
33,-49.759342,-6.401649
34,-33.194786,-49.98493
35,-48.624245,-4.9592886
58,-32.527187,-2.5106783
36,-48.30969,-3.41782
37,-38.324303,-1.6436465
38,-37.99177,-1.6892933
39,-37.714733,-1.5702418
111,-8.395264,17.44829
40,-37.893806,-1.616094
41,-47.678665,-4.2832255
42,-38.64407,-1.8529897
43,-38.457428,-1.7703186
112,-56.98597,-7.6283627
113,-56.96325,-7.646145
44,-47.87534,-4.4396715
45,-37.68545,-1.4884536
46,-37.904552,-1.8184398
47,21.877598,19.102337
91,-6.842844,21.212244
48,39.059036,33.690617
49,25.22588,18.705757
50,75.74814,36.400356
51,62.14277,47.189873
52,75.71334,36.18475
53,-53.603886,-12.1050205
54,-32.26739,-2.1256344
55,-51.57762,-7.38296
56,-51.212376,-7.0182104
57,-20.994814,-0.79772794
102,61.265896,46.88786
59,-32.385406,-2.4906313
60,-35.489338,-16.133102
61,-30.550241,3.2635636
62,-53.454445,-0.49191877
63,61.663956,49.07946
64,-51.99564,-14.662883
103,-38.763775,-0.615712
104,-24.361727,4.6790195
65,-54.20638,-15.282287
66,69.47659,40.0084
67,62.816364,42.30632
68,64.27424,42.123608
105,-8.474438,17.300478
106,-34.43554,2.0513575
69,-53.58305,-15.558732
70,62.882496,42.269077
71,63.30467,42.24449
72,63.15324,42.200733
114,12.882544,43.213318
73,-45.993393,-15.745128
74,-28.27275,-14.592181
75,-12.346326,-30.86794
76,-25.195824,-22.111628
107,-34.040882,2.0057688
77,-39.614895,-15.63297
78,-44.081017,-10.99265
79,-44.1155,-11.170731
80,-19.771175,0.66398764
108,-8.385148,17.514503
109,-34.204536,2.1391616
81,-39.43087,-11.487432
82,-25.159683,-22.06512
83,-39.17612,-11.596046
84,-25.221601,-22.068256
85,-53.987507,-13.992959
86,-19.818428,0.4581625
87,-9.725941,15.389601
88,-9.31293,17.784267
