name,x,y
1,11.894608,5.669999
2,11.695792,10.023414
3,12.297721,7.938727
4,13.602059,9.797529
5,12.3497505,10.467144
6,13.394933,7.5424447
117,12.535988,9.505515
6453,13.876963,7.3075876
6454,5.2972417,2.1002684
7,14.307329,9.345181
8,12.322129,8.424846
9,12.663608,10.161926
10,12.235271,8.961225
22,9.943194,9.615808
11,12.292616,8.551841
12,12.522314,9.965569
13,12.76109,8.691994
14,11.595351,7.5714717
110,9.970572,18.3614
6455,1.7627609,0.7564741
15,12.830359,9.634576
16,12.3542185,8.306652
17,12.539012,9.433019
18,11.955835,10.460006
19,11.172078,10.433349
20,10.339226,10.568102
21,11.879081,11.179592
23,10.658858,10.967621
24,13.213284,9.168024
25,11.841593,9.628665
26,11.574763,11.026237
27,10.426665,10.470375
28,12.774639,8.613407
29,11.027822,9.423496
30,11.106584,7.3443046
31,11.798601,8.472671
32,11.401895,9.328405
33,11.6687155,8.790469
34,11.715139,8.4379835
35,10.90889,7.449735
58,9.433573,1.3850842
36,10.733229,8.717953
37,12.534044,8.5706215
38,12.217889,8.202461
39,12.873542,8.819999
111,11.8136835,17.767488
40,12.035621,7.871659
41,12.062782,9.985239
42,12.371252,9.755731
43,13.466391,8.975202
112,8.631282,0.7758872
113,13.188717,7.6571507
44,12.052045,8.05494
45,11.883598,8.172027
46,13.397003,8.867831
47,8.109895,2.4037516
91,5.7801847,-7.398458
48,14.460525,7.686992
49,14.484721,7.5397787
50,17.798273,-5.5225906
51,17.843298,-5.5508904
52,10.675244,3.6102939
53,15.14611,-0.6134014
54,13.722488,6.9071126
55,17.821592,-5.52545
56,9.163434,1.4942026
57,19.328121,0.8494072
102,9.143148,1.1921673
59,13.0403805,8.260861
60,12.142724,18.43628
61,9.585193,17.559181
62,9.426856,1.3649206
63,12.535786,8.830582
64,12.033036,17.973795
103,11.330617,5.355437
104,9.314835,18.10277
65,10.5259075,17.639688
66,9.397839,1.0410494
67,9.396024,1.0444156
68,9.397,1.0431741
105,12.401781,18.082907
106,10.7825985,7.4551606
69,9.397653,1.0373849
70,9.419127,1.1510705
71,9.399076,1.1279898
72,9.396736,1.0379589
114,8.4104805,0.6105849
73,9.3995905,1.0430925
74,5.640697,-7.337218
75,9.843369,17.563517
76,6.025617,-7.455241
107,10.130257,17.69587
77,10.382991,17.67786
78,9.400555,1.040483
79,5.5854683,-7.45014
80,11.512143,17.90823
108,9.239496,17.696987
109,11.272211,4.8735957
81,4.309723,-7.0080423
82,4.6913505,-6.9683156
83,11.67104,17.801178
84,9.323289,18.100079
85,4.699378,-7.318988
86,11.460925,17.645916
87,5.388483,-7.3624964
88,11.583658,18.279224
89,4.847962,-7.3295336
90,10.78817,18.469725
115,13.612722,8.602868
92,11.714546,17.912533
93,10.914568,18.195969
94,6.5845385,-7.719835
95,8.672099,3.454888
96,9.4456415,1.4242839
97,17.77721,-5.5412693
98,17.851053,-5.5565186
99,17.782495,-5.507765
100,9.877318,18.311077
101,5.0266056,-1.3432728
116,8.328963,0.52517253
118,8.112326,2.3651478
119,14.307768,9.338336
120,14.186354,9.558124
121,10.992947,8.239145
155,11.906404,8.518753
2770,9.621653,17.628696
122,13.644383,8.859974
123,14.5253315,8.306035
124,8.081882,2.3364167
125,14.350201,8.766961
130,10.874637,8.083503
126,14.277249,9.327657
127,9.873916,2.1438284
128,14.493126,8.479166
129,14.528065,9.207129
152,11.6186695,7.823988
231,2.867965,-3.5272741
131,14.256158,9.441487
132,14.238491,9.513027
133,8.065349,2.3289673
134,14.474861,9.101849
153,11.4591675,11.542409
135,14.446259,9.061885
136,8.095935,2.3473878
137,14.451218,7.662731
138,12.927327,10.642932
139,8.080505,2.3387406
140,14.467281,8.294687
141,12.541826,9.209354
142,8.085132,2.3620877
143,14.297137,9.291613
154,11.221651,9.643288
4345,8.4384165,0.6172713
144,12.332705,8.053115
145,11.469764,9.001268
146,11.63552,9.830204
147,12.151652,8.595577
148,11.263448,10.20144
149,11.789631,8.622507
150,12.542187,8.3663
151,12.383935,11.05683
4346,10.947424,10.504687
156,11.394345,7.573829
157,11.310108,10.225955
158,11.549788,8.869611
159,11.663187,8.757763
160,11.271972,6.8626866
161,11.44117,8.120501
162,11.521905,7.566182
163,10.801492,10.316401
164,10.779551,8.316966
165,11.570384,8.034193
4347,8.347533,0.5526356
166,11.886557,8.752138
167,10.361378,8.992471
168,11.455198,11.082569
169,11.973353,9.252292
170,12.359938,10.923584
171,10.4719095,8.948916
172,11.006181,9.87899
173,11.893672,8.666072
174,9.300991,7.689519
175,11.446972,7.556622
4348,13.797549,7.709847
176,11.67495,10.7398815
177,11.645044,9.073675
178,11.672884,8.350095
179,12.034463,9.928704
180,11.062788,3.6001384
181,11.760208,8.858205
182,11.855269,8.626305
183,10.820841,9.337138
184,11.315144,7.929558
185,12.700677,8.509963
4349,8.41568,0.6059665
186,11.123115,9.310602
187,11.986194,17.867552
188,10.432804,18.503801
189,2.9144008,-3.5909123
190,8.091659,2.339928
191,14.327232,6.789815
192,14.410224,9.239608
193,12.014236,9.132462
194,11.333635,7.7547517
195,11.62347,8.757733
196,11.722702,9.520823
197,11.565256,8.94933
198,11.936207,8.667432
199,10.765018,10.513122
200,11.525494,7.8199964
201,11.441811,7.494885
202,11.380673,10.355427
4350,13.103625,10.0714655
203,11.511827,9.151512
204,11.056472,9.188149
205,12.309067,10.293258
206,12.022412,9.21452
207,11.7771845,8.785422
208,10.707018,9.3680935
209,12.046269,10.666163
210,11.466073,7.7247705
211,11.392993,9.265373
212,11.691202,8.41857
4351,8.451189,0.6358109
213,11.749937,8.328771
214,10.779356,10.467108
215,11.722532,10.085562
216,11.674083,7.9407396
217,11.987717,8.8847
218,11.561697,9.022463
219,11.330734,8.383368
220,11.375164,7.720562
221,11.442729,10.225747
222,11.292757,11.471021
4352,12.508273,8.987954
223,11.708182,9.622267
224,11.4892845,9.199879
